Geo Point;Geo Shape;Nummer;Strasse;Oertlichkeit;Art
47.4330517023,9.41352001993;"{""coordinates"": [9.41352001992735, 47.43305170230944, 46.40117159020156], ""type"": ""Point""}";539;;Achselnstrasse 6;schwach befahren
47.4077024223,9.30003016506;"{""coordinates"": [9.300030165063458, 47.40770242225484, 46.59513492882252], ""type"": ""Point""}";541;;"""alte Zürcher Str. / Zürcher Strasse";schwach befahren
47.4043905189,9.30276179286;"{""coordinates"": [9.302761792859503, 47.40439051885009, 46.600832232274115], ""type"": ""Point""}";19;;Industriestrasse / Herisauer Strasse;schwach befahren
47.4303509231,9.3989207723;"{""coordinates"": [9.398920772303242, 47.43035092306599, 46.42474439833313], ""type"": ""Point""}";79;;Flurhofstrasse 109;schwach befahren
47.425168196,9.38757932548;"{""coordinates"": [9.387579325483852, 47.42516819600035, 46.451181690208614], ""type"": ""Point""}";120;;Molkenstrasse 3;schwach befahren
47.4259338397,9.38859606921;"{""coordinates"": [9.3885960692124, 47.42593383965865, 46.44801772478968], ""type"": ""Point""}";121;;Molkenstrasse 5;schwach befahren
47.433932942,9.41536157902;"{""coordinates"": [9.415361579022496, 47.43393294195326, 46.396768108941615], ""type"": ""Point""}";7.0;Rehetobelstrasse;Kublystrasse;stark befahren
47.4326660961,9.40662094271;"{""coordinates"": [9.406620942713351, 47.432666096060665, 46.4099622676149], ""type"": ""Point""}";10.0;Rehetobelstrasse 48;;stark befahren
47.4327072084,9.40569741177;"{""coordinates"": [9.405697411766903, 47.432707208355126, 46.410893579013646], ""type"": ""Point""}";11.0;Rehetobelstrasse;Restaurant Grüttli;stark befahren
47.433114399,9.40128432223;"{""coordinates"": [9.401284322230286, 47.43311439904888, 46.41478548385203], ""type"": ""Point""}";15.0;Rehetobelstrasse;Bruggstrasse;stark befahren
47.4330559878,9.40061719292;"{""coordinates"": [9.400617192921718, 47.43305598776077, 46.4156905002892], ""type"": ""Point""}";16.0;Krontalstrasse;Rehetobelstrasse;stark befahren
47.4331729233,9.39949774255;"{""coordinates"": [9.399497742547812, 47.4331729233289, 46.41664115153253], ""type"": ""Point""}";17.0;Rehetobelstrasse;Rorschachee Strasse;stark befahren
47.417628612,9.36547074292;"{""coordinates"": [9.36547074292003, 47.41762861195602, 46.49589215032756], ""type"": ""Point""}";21.0;Oberstrasse 42;;stark befahren
47.4153469608,9.36058093575;"{""coordinates"": [9.360580935746967, 47.41534696079194, 46.50739128142595], ""type"": ""Point""}";24.0;Oberstrasse;Kreuzung Vonwilstr.;stark befahren
47.4127178806,9.35109288728;"{""coordinates"": [9.351092887276858, 47.412717880576665, 46.524949128739536], ""type"": ""Point""}";27.0;Oberstrasse;Kreuzung Ahornstrasse;stark befahren
47.4119366556,9.34910809314;"{""coordinates"": [9.34910809314092, 47.4119366555504, 46.52923041861504], ""type"": ""Point""}";28.0;Oberstrasse 214;;stark befahren
47.4062408689,9.34129845407;"{""coordinates"": [9.34129845406903, 47.406240868913535, 46.552984178997576], ""type"": ""Point""}";29.0;Oberstrasse;Kreuzung Haselstrasse;stark befahren
47.4047786544,9.34018380084;"{""coordinates"": [9.340183800844324, 47.40477865439933, 46.55808515381068], ""type"": ""Point""}";30.0;Oberstrasse;Wilenweg;stark befahren
47.4195648155,9.3787856063;"{""coordinates"": [9.37878560630096, 47.419564815474736, 46.47584828734398], ""type"": ""Point""}";40.0;St. Georgenstr.;Gottfried-Keller-Str.;stark befahren
47.4154679665,9.38276402342;"{""coordinates"": [9.382764023415609, 47.41546796648319, 46.48219077847898], ""type"": ""Point""}";44.0;St. Georgenstr. 100;;stark befahren
47.4146104394,9.39127209545;"{""coordinates"": [9.391272095450658, 47.414610439355684, 46.474891806952655], ""type"": ""Point""}";47.0;St. Georgen Str. 160;Bach-Garage Gschwend;stark befahren
47.4140201081,9.34930330768;"{""coordinates"": [9.349303307676694, 47.41402010811153, 46.5235156128183], ""type"": ""Point""}";50.0;Fürstenlandstrasse 43;Fa. Gastro;stark befahren
47.4130682978,9.34597103176;"{""coordinates"": [9.345971031758381, 47.4130682977642, 46.52975347544998], ""type"": ""Point""}";52.0;Fürstenlandstrasse;VESA Elektro Fachschule;stark befahren
47.4110052462,9.33878041808;"{""coordinates"": [9.338780418075977, 47.411005246150005, 46.543232675641775], ""type"": ""Point""}";55.0;Fürstenlandstr. 142;;stark befahren
47.4075008885,9.32630277663;"{""coordinates"": [9.326302776632849, 47.40750088845682, 46.56640560179949], ""type"": ""Point""}";60.0;Kränzernstrasse 2;;stark befahren
47.4071358179,9.32524574688;"{""coordinates"": [9.325245746875689, 47.407135817860414, 46.56854750867933], ""type"": ""Point""}";61.0;Kränzernstrasse;Sittertalstrasse;stark befahren
47.4049031755,9.31289165828;"{""coordinates"": [9.312891658283604, 47.40490317553717, 46.58820507489145], ""type"": ""Point""}";63.0;Kräzernstrasse 96;Denner;stark befahren
47.4048626858,9.308611796;"{""coordinates"": [9.308611795999713, 47.40486268577299, 46.59307733736932], ""type"": ""Point""}";65.0;Bildweiherstrasse;Mövenstrasse;stark befahren
47.4060848177,9.32379571962;"{""coordinates"": [9.323795719624135, 47.40608481771482, 46.57293644640595], ""type"": ""Point""}";75.0;Kräzernstrasse;Sittertalweg;stark befahren
47.4193604407,9.36235802422;"{""coordinates"": [9.362358024215427, 47.4193604406919, 46.49480946548283], ""type"": ""Point""}";84.0;Burgstrasse;;stark befahren
47.4310053585,9.39449673257;"{""coordinates"": [9.394496732570815, 47.431005358474636, 46.42799183446914], ""type"": ""Point""}";;;;schwach befahren
47.4246600927,9.37156980994;"{""coordinates"": [9.371569809942317, 47.42466009268208, 46.470494175329804], ""type"": ""Point""}";;Schützengasse;;schwach befahren
47.4070306856,9.3354271134;"{""coordinates"": [9.335427113395314, 47.40703068564736, 46.55746116023511], ""type"": ""Point""}";26;Lehnstrasse;Lehnstrasse / Haggenstrasse;schwach befahren
47.4285926114,9.3751166874;"{""coordinates"": [9.375116687397705, 47.42859261139976, 46.45613095257431], ""type"": ""Point""}";3;Müller-Friedberg-Strasse;Müller-Frieberg-Strasse 7;schwach befahren
47.437887267,9.40613586344;"{""coordinates"": [9.406135863436514, 47.437887267006914, 46.396713649854064], ""type"": ""Point""}";96;Lindenstrasse;Lindenstrasse / Kirche Neudorf;schwach befahren
47.4383970772,9.40522427087;"{""coordinates"": [9.405224270869526, 47.43839707722371, 46.396392634138465], ""type"": ""Point""}";95;Lindenstrasse;Lindenstrasse 175;schwach befahren
47.4310759346,9.3736952308;"{""coordinates"": [9.37369523079916, 47.43107593462445, 46.4511656742543], ""type"": ""Point""}";49;Varnbüelstrasse;Varnbüelstrasse / Rest.Wienerberg;schwach befahren
47.4398324959,9.37993513079;"{""coordinates"": [9.379935130792884, 47.43983249587506, 46.421023522503674], ""type"": ""Point""}";;;;schwach befahren
47.4359389972,9.38431174308;"{""coordinates"": [9.384311743079728, 47.43593899718284, 46.42640173062682], ""type"": ""Point""}";60;Gerhaldenstrasse;Gerhaldenstrasse 7;schwach befahren
47.4374888936,9.38376387754;"{""coordinates"": [9.3837638775371, 47.437488893567476, 46.42292069271207], ""type"": ""Point""}";62;Gerhaldenstrasse;Gerhaldenstrasse / Goethestrasse;schwach befahren
47.4392289567,9.39481964552;"{""coordinates"": [9.394819645516836, 47.43922895671235, 46.4058995032683], ""type"": ""Point""}";;;;schwach befahren
47.4350111007,9.39599558012;"{""coordinates"": [9.395995580124978, 47.43501110073473, 46.41572399251163], ""type"": ""Point""}";70;Buchentalstrasse;Buchentalstrasse 27;schwach befahren
47.4275676841,9.38462184828;"{""coordinates"": [9.384621848279636, 47.42756768411501, 46.44816832430661], ""type"": ""Point""}";;Singenbergstrasse;;schwach befahren
47.4174467828,9.358724194;"{""coordinates"": [9.358724194000454, 47.41744678277617, 46.50392992980778], ""type"": ""Point""}";;Vonwilstrasse;;schwach befahren
47.4155204195,9.3605960582;"{""coordinates"": [9.36059605820151, 47.41552041946199, 46.506916678510606], ""type"": ""Point""}";500;Vonwilstrasse;Burgstrasse 92;schwach befahren
47.4377275699,9.4033325132;"{""coordinates"": [9.403332513200983, 47.4377275698743, 46.40029142983258], ""type"": ""Point""}";;Lukasstrasse;;schwach befahren
47.4247530437,9.3866459728;"{""coordinates"": [9.386645972802905, 47.4247530436942, 46.45332641154528], ""type"": ""Point""}";118;Wildeggstrasse;Wildeggstrasse / Speicherstrasse;schwach befahren
47.4175939007,9.35878092402;"{""coordinates"": [9.35878092401977, 47.417593900729415, 46.50347815826535], ""type"": ""Point""}";;Burgstrasse;;schwach befahren
47.4229434153,9.37155368915;"{""coordinates"": [9.371553689153899, 47.42294341534199, 46.475044581107795], ""type"": ""Point""}";;Kornhausstrasse;;schwach befahren
47.4227872998,9.37147341869;"{""coordinates"": [9.371473418686215, 47.42278729975999, 46.47554673906416], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4225314867,9.37079991938;"{""coordinates"": [9.370799919380072, 47.42253148665722, 46.47697732783854], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4204272839,9.36952743491;"{""coordinates"": [9.369527434909678, 47.420427283945365, 46.48395855072886], ""type"": ""Point""}";;Davidstrasse;;schwach befahren
47.4134750982,9.35407994307;"{""coordinates"": [9.35407994306709, 47.41347509816562, 46.51960883848369], ""type"": ""Point""}";;;;schwach befahren
47.4361330839,9.41833006107;"{""coordinates"": [9.418330061070908, 47.43613308394202, 46.387608993798494], ""type"": ""Point""}";;Tablatstrasse;;schwach befahren
47.4384864055,9.41802904453;"{""coordinates"": [9.418029044527087, 47.43848640549355, 46.381730204448104], ""type"": ""Point""}";;Tablatstrasse;;schwach befahren
47.4330413523,9.38342439316;"{""coordinates"": [9.383424393164649, 47.43304135230222, 46.435054847970605], ""type"": ""Point""}";;St.Jakob-Strasse;;schwach befahren
47.437962802,9.41928887795;"{""coordinates"": [9.419288877949917, 47.43796280202586, 46.38169323094189], ""type"": ""Point""}";;;;schwach befahren
47.4371290993,9.41470717406;"{""coordinates"": [9.414707174061496, 47.43712909926439, 46.38906159903854], ""type"": ""Point""}";;;;schwach befahren
47.4064295727,9.33718404513;"{""coordinates"": [9.337184045130051, 47.40642957272203, 46.55708387773484], ""type"": ""Point""}";22;Haggenstrasse;Haggenstrasse 51;schwach befahren
47.4401107898,9.41061892084;"{""coordinates"": [9.41061892083949, 47.44011078980336, 46.385788346640766], ""type"": ""Point""}";;;;schwach befahren
47.4104375162,9.34494159853;"{""coordinates"": [9.344941598528601, 47.41043751624458, 46.537844312377274], ""type"": ""Point""}";543;Hechtackerstrasse;Hechtackerstrasse 33;schwach befahren
47.4295972161,9.39270381;"{""coordinates"": [9.392703809995343, 47.42959721611646, 46.43372687790543], ""type"": ""Point""}";75;Grossackerstrasse;Grossackerstrasse 7;schwach befahren
47.4264855498,9.37334172683;"{""coordinates"": [9.373341726826785, 47.42648554975854, 46.46368669066578], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4338680412,9.41681093337;"{""coordinates"": [9.416810933368641, 47.43386804115819, 46.395305620506406], ""type"": ""Point""}";;Rehetobelstrasse;;schwach befahren
47.4323155869,9.37754113042;"{""coordinates"": [9.377541130419422, 47.43231558690709, 46.4435761757195], ""type"": ""Point""}";;Dufourstrasse;;schwach befahren
47.4260208074,9.37396483322;"{""coordinates"": [9.37396483321801, 47.42602080743079, 46.46421501226723], ""type"": ""Point""}";;Blumenbergplatz;;schwach befahren
