Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.43067474058744,9.39306296716517;"{""coordinates"": [9.39306296716517, 47.43067474058744], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Güterumschlag: 2;;;;;9000
47.43087447790935,9.38776754662266;"{""coordinates"": [9.38776754662266, 47.43087447790935], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Nordseite, Kantonsspital-Areal: Besucher;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Kundenparkplatz: 2;;;;;9000
47.4260523652025,9.370878097184939;"{""coordinates"": [9.370878097184939, 47.4260523652025], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zwinglistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 7;;;;;9000
47.41910918796868,9.362419374603771;"{""coordinates"": [9.362419374603771, 47.41910918796868], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Bogenstrasse;St.Gallen;Schweiz;;Invalidenparkplatz: 1;;;;;9000
47.430315940303096,9.38403957718805;"{""coordinates"": [9.38403957718805, 47.430315940303096], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Bürglistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9000
47.41021640994181,9.365743265729895;"{""coordinates"": [9.365743265729895, 47.41021640994181], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Im Grund;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9012
47.4101876276787,9.366193630833518;"{""coordinates"": [9.366193630833518, 47.4101876276787], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Im Grund;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9012
47.41357204607115,9.313082099007682;"{""coordinates"": [9.313082099007682, 47.41357204607115], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Interio;;;;;;Gaiserwaldstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 13;;;;;9015
47.41406063584749,9.31260816905091;"{""coordinates"": [9.31260816905091, 47.41406063584749], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Interio;;;;;;Gaiserwaldstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 2;;;;;9015
47.40370659257906,9.32566595695395;"{""coordinates"": [9.32566595695395, 47.40370659257906], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Hinterberg;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9014
47.437980086544556,9.395494784487449;"{""coordinates"": [9.395494784487449, 47.437980086544556], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Heiligkreuzstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9008
47.4271915843229,9.365390650074117;"{""coordinates"": [9.365390650074117, 47.4271915843229], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dietlistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9000
47.438512949278625,9.419200212475703;"{""coordinates"": [9.419200212475703, 47.438512949278625], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schachenstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9016
47.41480191174909,9.362716459413637;"{""coordinates"": [9.362716459413637, 47.41480191174909], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Ruhbergstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.424897769447036,9.383383124992148;"{""coordinates"": [9.383383124992148, 47.424897769447036], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Linsebühlstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.42706697808988,9.373970479418352;"{""coordinates"": [9.373970479418352, 47.42706697808988], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Grabenhalle West;;;;;;Unterer Graben;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.41343277415969,9.366551101861948;"{""coordinates"": [9.366551101861948, 47.41343277415969], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Obere Berneggstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9012
47.44413137232088,9.409385759778614;"{""coordinates"": [9.409385759778614, 47.44413137232088], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zilstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9016
47.418156784025975,9.366502294234818;"{""coordinates"": [9.366502294234818, 47.418156784025975], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Bei Oberstr 30;;;;;;Geltenwilenstich;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.437900789408076,9.400960272060454;"{""coordinates"": [9.400960272060454, 47.437900789408076], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Harzbüchelstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 26;;;;;9016
47.43712484186366,9.399997285529462;"{""coordinates"": [9.399997285529462, 47.43712484186366], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Harzbüchelstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 13;;;;;9016
47.41332053573539,9.339097744368408;"{""coordinates"": [9.339097744368408, 47.41332053573539], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Lidl Lerchenfeld (Eröffnung	19. März 2009);;;;;;Lerchenfeldstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 4;;;;;9014
47.41328708060614,9.338999595314576;"{""coordinates"": [9.338999595314576, 47.41328708060614], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Lidl Lerchenfeld (Eröffnung	19. März 2009);;;;;;Lerchenfeldstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 1;;;;;9014
47.41044557337798,9.338090267749203;"{""coordinates"": [9.338090267749203, 47.41044557337798], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	24. April 2008);;;;;;Fürstenlandstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 1;;;;;9014
47.43976437929626,9.408036949867032;"{""coordinates"": [9.408036949867032, 47.43976437929626], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Brauerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 6;;;;;9016
47.402988541926064,9.300190253823489;"{""coordinates"": [9.300190253823489, 47.402988541926064], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Kreuzbühlstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9015
47.442992373808515,9.416289617431431;"{""coordinates"": [9.416289617431431, 47.442992373808515], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	14.05.2007);;;;;;Lerchentalstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 12;;;;;9016
47.44303175593667,9.416135042972554;"{""coordinates"": [9.416135042972554, 47.44303175593667], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	14.05.2007);;;;;;Lerchentalstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 17;;;;;9016
47.43104552820179,9.381639189513562;"{""coordinates"": [9.381639189513562, 47.43104552820179], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Parkplatz Olma Messen St. Gallen;;;;;;Jägerstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 14;;;;;9000
47.431719272829746,9.380153779757405;"{""coordinates"": [9.380153779757405, 47.431719272829746], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Leimatstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9000
47.405972755748124,9.305749851586958;"{""coordinates"": [9.305749851586958, 47.405972755748124], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Westcenter Kurz-Parking;;;;;;Herisauer Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 6;;;;;9015
47.40601241436132,9.30552759551468;"{""coordinates"": [9.30552759551468, 47.40601241436132], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Westcenter Kurz-Parking;;;;;;Herisauer Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 5;;;;;9015
47.4208399863686,9.370640100956907;"{""coordinates"": [9.370640100956907, 47.4208399863686], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Davidstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.4180282765558,9.383936607299644;"{""coordinates"": [9.383936607299644, 47.4180282765558], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Gessnerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9011
47.43269833922599,9.390240529530992;"{""coordinates"": [9.390240529530992, 47.43269833922599], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Greithstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9000
47.410930973722536,9.311839539870073;"{""coordinates"": [9.311839539870073, 47.410930973722536], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Gewerbehaus;;;;;;Piccardstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 3;;;;;9015
47.422452131097096,9.370489070975822;"{""coordinates"": [9.370489070975822, 47.422452131097096], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Hauptpost, vis-à-vis Neumarkt 1 und 2;;;;;;St.Leonhard-Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.42286418277307,9.375170682718622;"{""coordinates"": [9.375170682718622, 47.42286418277307], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Hotel DOM;;;;;;Webergasse;St.Gallen;Schweiz;;Hotelhalt: 4;;;;;9000
47.433837509145086,9.391954341475042;"{""coordinates"": [9.391954341475042, 47.433837509145086], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Lindentalstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 9;;;;;9000
47.40343702421074,9.339236641291173;"{""coordinates"": [9.339236641291173, 47.40343702421074], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Haggenstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9014
47.44304250696431,9.406305368754387;"{""coordinates"": [9.406305368754387, 47.44304250696431], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zilstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 6;;;;;9016
47.4171317245984,9.365404993219016;"{""coordinates"": [9.365404993219016, 47.4171317245984], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Tschudistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 5;;;;;9000
47.42575889277386,9.373111732552374;"{""coordinates"": [9.373111732552374, 47.42575889277386], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Bahnhofstrasse;St.Gallen;Schweiz;;Güterumschlag: 3;;;;;9000
47.42321015919487,9.36759436881565;"{""coordinates"": [9.36759436881565, 47.42321015919487], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Cityparking Bahnhof (Fachhochschulzentrum);;;;;;Rosenbergstrasse;St.Gallen;Schweiz;;Unterirdisch, Garage: 27;;;;;9000
47.408993241183595,9.333957795907041;"{""coordinates"": [9.333957795907041, 47.408993241183595], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Rittmeyerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 6;;;;;9014
47.40424401988134,9.302655606417677;"{""coordinates"": [9.302655606417677, 47.40424401988134], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Herisauer Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9015
47.432593477141104,9.397946491122482;"{""coordinates"": [9.397946491122482, 47.432593477141104], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.43280503757622,9.398368626571358;"{""coordinates"": [9.398368626571358, 47.43280503757622], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 1;;;;;9000
47.40754520114723,9.29771056259182;"{""coordinates"": [9.29771056259182, 47.40754520114723], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zürcher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 10;;;;;9015
47.41338450958584,9.35452602464178;"{""coordinates"": [9.35452602464178, 47.41338450958584], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Ruhsitzstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.42085324062408,9.356616315088758;"{""coordinates"": [9.356616315088758, 47.42085324062408], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Metallstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9000
47.438372833672595,9.377012834520825;"{""coordinates"": [9.377012834520825, 47.438372833672595], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Steinbockstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9010
47.43764844311781,9.392413499656445;"{""coordinates"": [9.392413499656445, 47.43764844311781], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Kolosseumstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9008
47.44097119411358,9.394821047518874;"{""coordinates"": [9.394821047518874, 47.44097119411358], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Domänenstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9008
47.43466843816262,9.394084763535668;"{""coordinates"": [9.394084763535668, 47.43466843816262], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Bahnhof St. Fiden;;;;;;Untere Lindentalstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 10;;;;;9000
47.440402318191914,9.392255507685912;"{""coordinates"": [9.392255507685912, 47.440402318191914], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Langgasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9008
47.441952085801105,9.377417458093706;"{""coordinates"": [9.377417458093706, 47.441952085801105], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schlatterstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9010
47.43635816875871,9.373973875403003;"{""coordinates"": [9.373973875403003, 47.43635816875871], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Waldgutstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9010
47.43627517150151,9.37425188130001;"{""coordinates"": [9.37425188130001, 47.43627517150151], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Waldgutstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9010
47.42470022756217,9.382604070409238;"{""coordinates"": [9.382604070409238, 47.42470022756217], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Linsebühlstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.41918530199438,9.363947872346271;"{""coordinates"": [9.363947872346271, 47.41918530199438], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Paradiesstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 5;;;;;9000
47.43786791801595,9.384122189105122;"{""coordinates"": [9.384122189105122, 47.43786791801595], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Goethestrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9008
47.418164397327416,9.36568092274404;"{""coordinates"": [9.36568092274404, 47.418164397327416], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Unterstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.43420302410618,9.394062469218426;"{""coordinates"": [9.394062469218426, 47.43420302410618], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Lindentalstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 10;;;;;9000
47.43517525050879,9.38254255102422;"{""coordinates"": [9.38254255102422, 47.43517525050879], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Lessingstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 5;;;;;9008
47.440808704345656,9.388750471847974;"{""coordinates"": [9.388750471847974, 47.440808704345656], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Hompelistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9008
47.44106648455099,9.387588773740658;"{""coordinates"": [9.387588773740658, 47.44106648455099], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Hompelistrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9008
47.443151917561366,9.387243019941456;"{""coordinates"": [9.387243019941456, 47.443151917561366], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schoeckstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9008
47.4422394859414,9.385975934674414;"{""coordinates"": [9.385975934674414, 47.4422394859414], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schoeckstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9008
47.441575056850496,9.385164803434666;"{""coordinates"": [9.385164803434666, 47.441575056850496], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schoeckstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9008
47.41871451676848,9.362041935671355;"{""coordinates"": [9.362041935671355, 47.41871451676848], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Seitzstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 3;;;;;9000
47.43568520995741,9.386810942114417;"{""coordinates"": [9.386810942114417, 47.43568520995741], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Farbgutstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9008
47.4328453655492,9.399026697049901;"{""coordinates"": [9.399026697049901, 47.4328453655492], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Röschstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.43951153717672,9.375853201805537;"{""coordinates"": [9.375853201805537, 47.43951153717672], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Fliederstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9010
47.42972559413504,9.391551173317648;"{""coordinates"": [9.391551173317648, 47.42972559413504], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Scheibenackerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9000
47.43676590961857,9.401663742448907;"{""coordinates"": [9.401663742448907, 47.43676590961857], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Lindenstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9016
47.42955234864737,9.382447845273742;"{""coordinates"": [9.382447845273742, 47.42955234864737], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Notkerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9000
47.4018706323905,9.338573015515026;"{""coordinates"": [9.338573015515026, 47.4018706323905], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Wolfgangweg;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9014
47.40915543124865,9.334751929129553;"{""coordinates"": [9.334751929129553, 47.40915543124865], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Obere Friedhofstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9014
47.43112663358384,9.376365204767694;"{""coordinates"": [9.376365204767694, 47.43112663358384], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dufourstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.41340463390537,9.370429588466726;"{""coordinates"": [9.370429588466726, 47.41340463390537], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Gewerbeschule, Demutstrasse 113 Südseite;;;;;;Demutstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 12;;;;;9012
47.41225602469034,9.36733922340444;"{""coordinates"": [9.36733922340444, 47.41225602469034], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Demutstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9012
47.42703062305233,9.382921173776523;"{""coordinates"": [9.382921173776523, 47.42703062305233], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Stadtpark;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 3;;;;;9000
47.42710041061654,9.383048674186169;"{""coordinates"": [9.383048674186169, 47.42710041061654], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Stadtpark;;;;;;Rorschacher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.424723734505456,9.380890701371511;"{""coordinates"": [9.380890701371511, 47.424723734505456], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Lämmlisbrunnenstrasse Nordseite;;;;;;Lämmlisbrunnenstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.430008294913264,9.391317348998834;"{""coordinates"": [9.391317348998834, 47.430008294913264], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Scheibenackerstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 5;;;;;9000
47.42358240191158,9.38428433155169;"{""coordinates"": [9.38428433155169, 47.42358240191158], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Obere Wildeggstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9000
47.420845935469856,9.371338985046748;"{""coordinates"": [9.371338985046748, 47.420845935469856], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Teufener Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.42870631400162,9.385545395922863;"{""coordinates"": [9.385545395922863, 47.42870631400162], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Blarerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 5;;;;;9000
47.44555578314445,9.417672836650539;"{""coordinates"": [9.417672836650539, 47.44555578314445], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Lerchentalstrasse;St.Gallen;Schweiz;;Kundenparkplatz: 12;;;;;9016
47.4162602673538,9.36143890476643;"{""coordinates"": [9.36143890476643, 47.4162602673538], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Wagnerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.40027557014715,9.29988373551056;"{""coordinates"": [9.29988373551056, 47.40027557014715], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Gsellstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9015
47.41483457416669,9.362268328064358;"{""coordinates"": [9.362268328064358, 47.41483457416669], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Ruhbergstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 6;;;;;9000
47.42784697285725,9.37156283693655;"{""coordinates"": [9.37156283693655, 47.42784697285725], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dufourstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 4;;;;;9000
47.42485587243973,9.369431831115255;"{""coordinates"": [9.369431831115255, 47.42485587243973], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Tellstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 8;;;;;9000
47.423406454814376,9.366583452928644;"{""coordinates"": [9.366583452928644, 47.423406454814376], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Greifenstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 9;;;;;9000
47.42914083529652,9.374059993994477;"{""coordinates"": [9.374059993994477, 47.42914083529652], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dierauerstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9000
47.433498559538016,9.372186231599423;"{""coordinates"": [9.372186231599423, 47.433498559538016], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Gatterstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 7;;;;;9010
47.436683774547156,9.377028275023012;"{""coordinates"": [9.377028275023012, 47.436683774547156], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Guisanstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9010
47.42417234600919,9.377277791432851;"{""coordinates"": [9.377277791432851, 47.42417234600919], ""type"": ""Point""}";;Parkplätze, Parkhäuser;Höhe Klosterhof 1;;;;;;Zeughausgasse;St.Gallen;Schweiz;;Invalidenparkplatz: 1;;;;;9000
47.43488203940476,9.38381761416125;"{""coordinates"": [9.38381761416125, 47.43488203940476], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Heinestrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9008
47.425166779268366,9.366481062528331;"{""coordinates"": [9.366481062528331, 47.425166779268366], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dufourstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 10;;;;;9000
47.42414387305727,9.363911638868093;"{""coordinates"": [9.363911638868093, 47.42414387305727], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Dufourstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.42582098672203,9.384078610059152;"{""coordinates"": [9.384078610059152, 47.42582098672203], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Konkordiastrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9000
47.425069433803806,9.383801621340643;"{""coordinates"": [9.383801621340643, 47.425069433803806], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Linsebühlstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.4258607616275,9.385189885801008;"{""coordinates"": [9.385189885801008, 47.4258607616275], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Linsebühlstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9000
47.426496657373306,9.389427194531109;"{""coordinates"": [9.389427194531109, 47.426496657373306], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Jüchstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.430312791246415,9.392415969269113;"{""coordinates"": [9.392415969269113, 47.430312791246415], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Grossackerstrasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 4;;;;;9000
