vorname;adresse;iv_grad;oeffnungsz;informatio;bezeichnun;iv_info;telefon;name;land;kategorie;adresszusa;firma;ort;zusatz;mobile;plz;geometry
;Langgasse 113;unbekannt;;;Kindergarten Langgasse;;+41714992078;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.393661791732583 47.442179388735845)
;Otmarstrasse 17;unbekannt;;;Kindergarten Otmarstrasse;;+41714992287;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.357314559224793 47.41685597578202)
;Schorenstrasse 47;unbekannt;;;Kindergarten Schorenstrasse;;+41714992249;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.360715761111011 47.426190213976966)
;Dreilindenhang 30;unbekannt;;;Kindergarten Dreilindenhang;;+41714992135;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.386293119466927 47.42375288370101)
;Heiligkreuzstrasse 47;unbekannt;;;Kindergarten Heiligkreuzstrasse II;;+41714992077;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.394123082836682 47.43996826778652)
;Zürcher Strasse 65;bedingt behindertengerecht;;;Kindergarten Zürcher Strasse;Nur EG mit Treppenlift zugänlich, WC im EG;+41714992288;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.351137680809721 47.41747539338972)
;Buchwaldstrasse 9;unbekannt;;;Kindergarten Buchwaldstrasse;;+41714992079;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.392845573655421 47.43681522633118)
;Boppartshofstrasse 1;unbekannt;;Einzugsgebiet der Primarschule Rotmonten-Gerhalde;Kindergarten Boppartshofstrasse 1;;+41714992013;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.335891639600923 47.40602333520536)
;Grütlistrasse 24;unbekannt;;Treffpunkt für Schülerinnen und Schüler von der 6. bis zur 9. Klasse;Kindergarten Grütlistrasse;;+41714992146;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.4045162306544 47.43339597534373)
;St.Georgen-Strasse 215;unbekannt;;;Kindergarten St. Georgen-Strasse II;;+41714992157;;Schweiz;Kindergärten;;;St.Gallen;;;9011;POINT (9.39845720545062 47.41471228978259)
;Waldgutstrasse 6a;unbekannt;;;Kindergarten Waldgutstrasse 6a II;;+41714992218;;Schweiz;Kindergärten;;;St.Gallen;;;9010;POINT (9.375514308060579 47.43658231430786)
;Oberzilstrasse 11;unbekannt;;;Kindergarten Oberzilstrasse 11 / II;;+41714992344;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.407570349583759 47.44157142341053)
;Gerhardtstrasse 14;unbekannt;;;Kindergarten Gerhardtstrasse;;+41714992237;;Schweiz;Kindergärten;;;St.Gallen;;;9012;POINT (9.365638348420807 47.411390943216595)
;Iddastrasse 25;unbekannt;;;Kindergarten Iddastrasse 25;;+41714992216;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.386686685077178 47.43734063725762)
;Sonnmattstrasse 17;unbekannt;;;Kindergarten Sonnmattstrasse;;+41714992176;;Schweiz;Kindergärten;;;St.Gallen;;;9015;POINT (9.313299335876827 47.40647506472238)
;Boppartshofstrasse 3;unbekannt;;;Kindergarten Boppartshofstrasse 3;;+41714992014;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.335525363345745 47.40593970576332)
;Gotthelfstrasse 11;unbekannt;;;Kindergarten Gotthelfstrasse;;+41714992156;;Schweiz;Kindergärten;;;St.Gallen;;;9011;POINT (9.383713236361773 47.418253457269316)
;Kesselhaldenstrasse 64;unbekannt;;;Kindergarten Kesselhaldenstrasse;;+41714992325;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.405370214680413 47.44590354314149)
;Wolfganghof 14;unbekannt;;;Kindergarten Wolfganghof 14;;+41714992018;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.335072642431896 47.4021713022684)
;Oberzilstrasse 11;unbekannt;;;Kindergarten Oberzilstrasse 11 / I;;+41714992344;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.407329597937446 47.441630589010316)
;Achslenweg 10;unbekannt;;;Kindergarten Achslenweg 10a I;;+41714992169;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.410014604610014 47.43501956289859)
;Waldgutstrasse 6a;unbekannt;;;Kindergarten Waldgutstrasse 6a III;;+41714992219;;Schweiz;Kindergärten;;;St.Gallen;;;9010;POINT (9.375670748005225 47.43663920321055)
;Wiesentalstrasse 23;;;;Kindergarten Wiesentalstrasse 23 III;;;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.397024702841062 47.43342314838811)
;Burgstrasse 91d;;;;Kindergarten Burgstrasse 91d;;+41714992286;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.355947797259354 47.41539658012633)
;Austrasse 11;unbekannt;;;Kindergarten Austrasse;;+41714992098;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.330920942204653 47.41169369405445)
;Haselstrasse 20;unbekannt;;;Kindergarten Haselstrasse;;+41714992015;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.341393111098778 47.40383712314009)
;Moosstrasse 57b;unbekannt;;;Kindergarten Moosstrasse;;+41714992099;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.337794457485682 47.409322141706426)
;Falkensteinstrasse 8;unbekannt;;;Kindergarten Falkensteinstrasse 8;;+41714992136;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.392072320702239 47.429787373978506)
;Flurhofstrasse 74;unbekannt;;;Kindergarten Flurhofstrasse;;+41714992137;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.396764439758243 47.42914550780238)
;Güetlistrasse 6;unbekannt;;;Kindergarten Güetlistrasse I;;+41714992075;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.390429039445094 47.43797377525658)
;Rappensteinweg 5;unbekannt;;;Kindergarten Rappensteinweg;;+41714992138;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.40287999015668 47.432672533999344)
;St.Georgen-Strasse 215;unbekannt;;;Kindergarten St. Georgen-Strasse I;;;;Schweiz;Kindergärten;;;St.Gallen;;;9011;POINT (9.398994904800297 47.414647823668886)
;Herisauer Strasse 88b;unbekannt;;;Kindergarten Herisauer Strasse 88b;;+41714992178;;Schweiz;Kindergärten;;;St.Gallen;;;9015;POINT (9.300407707972626 47.40151391243576)
;Hinterberg 61;unbekannt;;;Kindergarten Hinterberg II;;+41714992017;;Schweiz;Kindergärten;;;St.Gallen;;;9014;POINT (9.326855374026556 47.40349762119714)
;Kublystrasse 5;unbekannt;;;Kindergarten Kublystrasse II;;+41714992148;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.414184655373099 47.433060347911315)
;Wiesentalstrasse 23;unbekannt;;;Kindergarten Wiesentalstrasse 23 I;;+41714992347;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.396892695737716 47.43337554941129)
;Tschudistrasse 21;;;;Kindergarten Tschudiwies II;;+41714992118;;Schweiz;Kindergärten;;;St. Gallen;;;9000;POINT (9.365756583538271 47.41691706645274)
;Obere Berneggstrasse 81;unbekannt;;;Kindergarten Obere Berneggstrasse;;+41714992239;;Schweiz;Kindergärten;;;St.Gallen;;;9012;POINT (9.366751367116377 47.41262935224272)
;Oberer Graben 45;unbekannt;;;Kindergarten Oberer Graben;;+41714992116;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.375201069956562 47.42220950009262)
;Wiesentalstrasse 23;unbekannt;;;Kindergarten Wiesentalstrasse 23 II;;+41714992348;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.397145976309861 47.43344090380572)
;Zwinglistrasse 5;unbekannt;;;Kindergarten Zwinglistrasse;;+41714992117;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.372650974632304 47.4266191619405)
;Kublystrasse 5;unbekannt;;;Kindergarten Kublystrasse I;;+41714992147;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.414129307910219 47.433152345499394)
;Iddastrasse 23;unbekannt;;;Kindergarten Iddastrasse 23;;+41714992215;;Schweiz;Kindergärten;;;St.Gallen;;;9008;POINT (9.38678710962321 47.43700392054906)
;Schokoladenweg 5;unbekannt;;;Kindergarten Schokoladenweg;;+41714991202;;Schweiz;Kindergärten;;;St.Gallen;;;9011;POINT (9.383518155823307 47.41634436244889)
;Salisstrasse 5;unbekannt;;;Kindergarten Salisstrasse;;+41714992285;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.356619173040599 47.417751780884544)
;Brauerstrasse 82;unbekannt;;;Kindergarten Brauerstrasse;;+41714992327;;Schweiz;Kindergärten;;;St.Gallen;;;9016;POINT (9.41090621632267 47.44260554527708)
;Kräzernstrasse 118;unbekannt;;;Kindergarten Kräzernstrasse 118;;+41714992179;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.309989752202696 47.40670645034086)
;Sonnenstrasse 16;;;;Kindergarten Spelterini;;+41714992267;;Schweiz;Kindergärten;;;St.Gallen;;;9000;POINT (9.381064138486979 47.42972835112445)
;Tschudistrasse 21;;;;Kindergarten Tschudiwies I;;+41714992118;;Schweiz;Kindergärten;;;St. Gallen;;;9000;POINT (9.365626968522783 47.41701801512784)
;Kreuzbühlstrasse 18;;;;Kindergarten Kreuzbühlstrasse 18;;;;Schweiz;Kindergärten;;;St.Gallen;;;9015;POINT (9.29922065099667 47.40284770142121)
